period,zone,scale,year,month,deviation
1909-10-01,1,1,1909,10,-0.39
1909-11-01,1,1,1909,11,-0.31
1909-12-01,1,1,1909,12,-0.56
1910-01-01,1,1,1910,1,-0.42
1910-02-01,1,1,1910,2,-0.4
1910-03-01,1,1,1910,3,-0.5
1910-04-01,1,1,1910,4,-0.42
1910-05-01,1,1,1910,5,-0.33
1910-06-01,1,1,1910,6,-0.38
1910-07-01,1,1,1910,7,-0.34
1910-08-01,1,1,1910,8,-0.36
1910-09-01,1,1,1910,9,-0.39
1910-10-01,1,1,1910,10,-0.41
1910-11-01,1,1,1910,11,-0.55
1910-12-01,1,1,1910,12,-0.67
1911-01-01,1,1,1911,1,-0.62
1911-02-01,1,1,1911,2,-0.57
1911-03-01,1,1,1911,3,-0.61
1911-04-01,1,1,1911,4,-0.53
1911-05-01,1,1,1911,5,-0.51
1911-06-01,1,1,1911,6,-0.5
1911-07-01,1,1,1911,7,-0.41
1911-08-01,1,1,1911,8,-0.44
1911-09-01,1,1,1911,9,-0.41
1911-10-01,1,1,1911,10,-0.26
1911-11-01,1,1,1911,11,-0.21
1911-12-01,1,1,1911,12,-0.21
1912-01-01,1,1,1912,1,-0.25
1912-02-01,1,1,1912,2,-0.14
1912-03-01,1,1,1912,3,-0.38
1912-04-01,1,1,1912,4,-0.17
1912-05-01,1,1,1912,5,-0.21
1912-06-01,1,1,1912,6,-0.24
1912-07-01,1,1,1912,7,-0.42
1912-08-01,1,1,1912,8,-0.54
1912-09-01,1,1,1912,9,-0.58
1912-10-01,1,1,1912,10,-0.57
1912-11-01,1,1,1912,11,-0.39
1912-12-01,1,1,1912,12,-0.43
1913-01-01,1,1,1913,1,-0.4
1913-02-01,1,1,1913,2,-0.45
1913-03-01,1,1,1913,3,-0.42
1913-04-01,1,1,1913,4,-0.39
1913-05-01,1,1,1913,5,-0.44
1913-06-01,1,1,1913,6,-0.45
1913-07-01,1,1,1913,7,-0.36
1913-08-01,1,1,1913,8,-0.33
1913-09-01,1,1,1913,9,-0.35
1913-10-01,1,1,1913,10,-0.32
1913-11-01,1,1,1913,11,-0.2
1913-12-01,1,1,1913,12,-0.02
1914-01-01,1,1,1914,1,0.05
1914-02-01,1,1,1914,2,-0.09
1914-03-01,1,1,1914,3,-0.24
1914-04-01,1,1,1914,4,-0.29
1914-05-01,1,1,1914,5,-0.21
1914-06-01,1,1,1914,6,-0.25
1914-07-01,1,1,1914,7,-0.23
1914-08-01,1,1,1914,8,-0.16
1914-09-01,1,1,1914,9,-0.16
1914-10-01,1,1,1914,10,-0.03
1914-11-01,1,1,1914,11,-0.15
1914-12-01,1,1,1914,12,-0.04
1915-01-01,1,1,1915,1,-0.2
1915-02-01,1,1,1915,2,-0.04
1915-03-01,1,1,1915,3,-0.1
1915-04-01,1,1,1915,4,0.06
